School,Conference,Attendance_Pct_FB,5_Year_Pct_Change,Majority_city,Instagram_Followers_FB (Thousands),Instagram_Followers_BB (Thousands),Donation_Revenue (Millions),Season_Ticket_Price,Win_Pct_Since_2003,Win_Val_AllTime_Fb,Win_Pct_AllTime_Fb,Graduate_Earnings(Thousands),Attendence_Pct_MBB,WBB_Capacity_Pct,Total_Revenue,Football_Revenue,MBB_Revenue,WBB_Revenue,Rights_Licensing,Football_Expense,MBB_Expense,WBB_Expense,Ticket_Sales_Pct,Football_Stadium_Capacity(22-25),Data_Complete,Alumni_amount,City 1,City 2,City 3,Occupation,Regional_occuptation,Regional_income,Regional _Populations,City 1_lat,City 1_lon,City 2_lat,City 2_lon,City 3_lat,City 3_lon
Minnesota,Big Ten,91.56,-0.29,"Twin Cities, MN ",164,58.6,29.4,,53.3,0.573,57.3,72,65.3,,,,,,,,,,,92.71,NO,289094,"Minneapolis, MN","St.Paul, MN",,,Home health and personal care aids,,,44.9774859,-93.2643669,44.94441,-93.09327,,
Nebraska,Big Ten,101.28,-0.71,"Lincoln, NE",320,116.0,46.3,,55.6,0.676,67.6,63,95.7,,,,,,,,,,,101.58,NO,"153,227","Lincoln, NE","Omaha, NE",,,Fast food and Counter Workers,,,40.813599,-96.70261,41.258652,-95.937195,,
Ohio State,Big Ten,101.29,1.5,"Columbus, OH",1500,226.0,58.55,,85.1,0.737,73.7,71,65.6,,,,,,,,,,,101.4,NO,383073,"Columbus, OH","Cleveland, OH",,,Fast food and Counter Workers,,,39.962762,-82.996291,41.5051414,-81.6914575,,
Oregon,Big Ten,108.49,7.29,"Portland, Oregon",298,127.0,45.88,,74.5,0.584,58.4,62,55.0,,,,,,,,,,,106.04,NO,153476,"Portland, OR","Eugene, OR",,,Fast food and Counter Workers,,,45.516018,-122.681425,44.052153,-123.091195,,
Penn State,Big Ten,100.49,-0.22,"Philadelphia, PA",698,69.0,39.03,,67.2,0.689,68.9,77,51.8,,,,,,,,,,,101.47,NO,524803,"Philadelphia, PA","New York City, NY",,,Fast food and Counter Workers,,,39.9510605,-75.1656204,40.7130466,-74.0072301,,
Purdue,Big Ten,92.09,-0.95,"Indianapolis, IN",130,189.0,23.08,,41.1,0.51,51.0,82,100.0,,,,,,,,,,,95.68,NO,360193,"Indianapolis, IN","Lafayette, IN",,,Misc Assemblers ,,,39.76845,-86.156212,40.417328,-86.890617,,
Rutgers,Big Ten,92.38,8.62,"New York City, NY",138,81.0,8.72,,46.6,0.491,49.1,78,101.5,,,,,,,,,,,93.74,NO,265337,"New York City, NY","New Brunswick, NJ",,,Home health and personal care aids,,,40.7130466,-74.0072301,40.4959469,-74.4441187,,
UCLA,Big Ten,41.56,-17.52,"Los Angeles, CA",248,227.0,16.01,,51.2,0.58,58.0,78,57.2,,,,,,,,,,,50.34,NO,"562,643","Los Angeles, CA","San Francisco, CA",,Business Development,Home health and personal care aids,,,34.052238,-118.243344,37.7800771,-122.4201615,,
USC,Big Ten,87.46,6.68,"Los Angeles, CA",325,145.0,,,71.7,0.694,69.4,95,42.5,,,,,,,,,,,91.55,NO,"381,262","Los Angeles, CA","San Francisco, CA",,Business Development,Home health and personal care aids,,,34.052238,-118.243344,37.7800771,-122.4201615,,
Washington,Big Ten,97.37,3.11,"Seattle, WA",261,66.5,36.06,,54.2,0.619,61.9,83,68.6,,,,,,,,,,,96.11,NO,"391,997","Seattle, WA",California,,Business Development,Software Developer,"112,400","781,000",47.603229,-122.33028,36.374105693,-119.27023,,
Wisconsin,Big Ten,92.57,-6.27,"Madison, WI",340,211.0,33.67,,68.2,0.582,58.2,79,88.2,,,,,,,,,,,99.14,NO,"310,121","Madison, WI","Milwaukee, WI",,Business Development,Registered Nurses,,,43.073926,-89.385244,43.041072,-87.909421,,
Alabama,SEC,99.99,0.28,"Birmingham, AL",1500,230.0,59.63,100.0,80.5,0.733,73.3,70,76.5,18.2,209.15,130.67,20.31,3.77,83.99,89.01,13.02,4.84,18.0,99.73,PARTIAL,187526,"Tuscaloosa, AL",Birmingham AL,,Business Development,,,,33.2106838,-87.5655828,33.5228587,-86.8077052,,
Arkansas,SEC,91.54,6.32,"Feyetteville, AR",295,253.0,29.8,,48.8,0.572,57.2,69,98.2,,,,,,,,,,,93.63,NO,154607,"Fayettville, AR",Texas,,Operations ,Management,"70,600",271217,36.061928,-94.160583,31.462733046,-99.33305009,,
